roundness,a6,b6,c6,d6,a7,b7,c7,d7,a8,b8,c8,d8,a9,b9,c9,d9,a10,b10,c10,d10,a11,b11,c11,d11,a12,b12,c12,d12,a13,b13,c13,d13,a14,b14,c14,d14,a15,b15,c15,d15,a16,b16,c16,d16,a17,b17,c17,d17,a18,b18,c18,d18,a19,b19,c19,d19,a20,b20,c20,d20,a21,b21,c21,d21,a22,b22,c22,d22,a23,b23,c23,d23,a24,b24,c24,d24,a25,b25,c25,d25,a26,b26,c26,d26,a27,b27,c27,d27,a28,b28,c28,d28,a29,b29,c29,d29,a30,b30,c30,d30,a31,b31,c31,d31,a32,b32,c32,d32,a33,b33,c33,d33,a34,b34,c34,d34,a35,b35,c35,d35,a36,b36,c36,d36,a37,b37,c37,d37,a38,b38,c38,d38,a39,b39,c39,d39,a40,b40,c40,d40,a41,b41,c41,d41,a42,b42,c42,d42,a43,b43,c43,d43,a44,b44,c44,d44,a45,b45,c45,d45,a46,b46,c46,d46,a47,b47,c47,d47,a48,b48,c48,d48,a49,b49,c49,d49,a50,b50,c50,d50
0.146758214,0.016413904,-0.009042019,-0.002886174,0.003440653,-0.005108216,0.001730646,-0.00123666,0.014112933,-0.001173858,0.006245335,-0.000224636,0.004277001,-0.003957678,0.007746695,-0.002083146,0.001320845,0.003877651,-9.48E-05,0.002997421,-0.001849518,0.003057892,0.001915358,-0.000204695,0.002094244,0.000827841,-0.000309525,0.001359993,-3.74E-05,-0.001968922,-0.000185219,1.48E-05,-0.002618377,-0.000251112,0.001113963,-0.001497617,-8.01E-05,-0.000628241,-0.000188226,-0.000148722,-0.000288128,0.001401335,-0.001191736,-0.00061701,0.001488358,0.000164401,-0.001525884,0.006814866,-0.015300308,0.010657192,-0.006888461,0.005819559,0.002474447,0.002678613,0.006197531,-0.001287376,0.002943706,-0.004308843,-0.000732027,-0.003476503,0.004382267,0.000295505,0.001746537,0.003520716,-0.005683822,0.004249357,-0.0003964,-0.000851997,-0.001112634,-7.45E-05,0.001339981,0.00132667,0.001920779,-0.002282726,0.001516715,-0.000887309,0.000412528,0.001513164,-0.000297395,-0.000270663,0.000500347,6.76E-05,0.000626672,-0.001118807,-7.35E-05,-0.000696917,0.000263957,0.000336749,0.00025162,-0.000542834,0.00040327,0.001135258,-0.016286035,-0.011565811,-0.015974992,0.001311561,-0.01355372,-0.011274544,0.001146684,0.001160269,-0.001797957,-0.000696606,0.007430126,-0.005541488,0.004604657,-0.0002997,-0.002600468,-0.001738782,0.002512966,-0.001071606,0.001683496,-0.003732279,0.001135515,-0.001940642,-0.001516818,0.00118111,-0.001363671,-0.001834652,0.002073856,-4.70E-05,-0.001046238,-0.000340632,0.001328955,-0.001461258,-0.000906366,0.001454412,-0.000986096,0.000593733,-0.001219353,0.000179676,-0.000796778,-4.57E-05,0.002007724,-0.00165804,0.001443603,0.000912531,0.003777193,0.00876008,-0.004312002,0.010743604,-0.006210558,-0.011570757,-0.008290949,0.006269923,0.009071761,-0.003300456,0.001143837,-0.00212298,0.001561894,-0.001863352,0.000510435,-0.002888424,-0.002300888,0.006517273,-0.001293579,-0.003802887,0.001652977,0.001099227,7.26E-05,-0.002018514,0.000718692,0.000807534,-0.000432944,0.004217414,-0.001677234,-0.000186955,-0.000878139,0.001459743,9.49E-05,-0.001755774,0.000800355,0.000151264,0.002624609,-0.00098556,-0.000349545,0.000304911,-0.000160437,0.000192824,-0.00013154,7.25E-05,-0.000645935
0.119042917,0.009094295,-0.011909209,-0.01077843,0.00826034,0.000767256,-0.006025519,0.010197989,0.004510157,0.002472055,-0.00363938,0.006972354,-0.002162627,-0.001586799,0.000699445,0.002704301,-0.002737968,-9.34E-05,0.001921227,0.000637876,0.001167565,-0.000104086,0.002142465,-0.00124059,-0.000290586,4.38E-05,0.000655999,-0.001266352,0.000676969,0.001606519,-0.000894292,-0.00095814,0.000768935,-3.70E-06,-0.000502307,0.001037005,0.000328059,0.000128448,-6.07E-05,0.000610312,0.000188636,-0.000550913,0.000850952,0.000163023,-8.12E-05,-0.000645247,0.02514076,0.011319578,0.001153557,-0.0051828,0.003219023,0.000985998,-0.012313732,0.005371015,0.001428029,0.004312973,0.003444814,-0.00273652,0.000843888,0.000470798,0.002190496,-0.003246942,0.001287762,-0.001013616,0.000288313,0.001528204,0.00200332,0.002164315,-0.001239337,-0.001348159,-0.000722503,0.000707334,0.000102719,4.79E-05,0.000280571,0.000664856,-0.000478859,-0.000106455,-0.000317257,0.001306471,2.36E-05,-0.000465219,-0.00038742,-0.000645814,-2.39E-05,0.000205522,0.000750866,-0.000818253,0.000689678,0.000125004,0.000244884,-0.008506957,0.000927754,-0.005206031,-0.001072975,-0.003063574,-0.006259289,0.000307276,0.003093094,-0.006404711,0.005420899,0.000879469,-0.001336081,-0.002908454,0.001424821,-0.000924025,-0.001408413,0.003108747,-0.002045904,0.000120163,-0.001717237,0.002157221,-0.000664173,0.001979626,-0.000348354,0.000332087,-0.001001929,0.000777582,0.000424803,0.000981524,0.000405148,0.00102792,-0.000677132,0.00023696,-0.000142622,-0.000105099,0.000732744,-0.000213392,-3.56E-06,-0.000751356,6.53E-05,-0.001091492,0.000363573,-0.000278737,-0.000613162,5.82E-05,-0.014780485,-0.009784937,0.00120233,-0.004436776,-0.021471535,0.002555626,0.002903136,0.003109478,-0.002913386,0.005753323,0.004730475,-0.004833705,-0.00236367,-0.000739839,0.000478753,-0.001784201,0.001690531,-0.000708593,0.00213612,-0.000626606,0.000372939,0.000811336,-0.000900223,-0.000170769,-0.000621809,0.001004275,-0.000792543,0.00064366,-4.06E-05,0.001000533,0.000603327,-0.000166887,-0.00098672,3.27E-05,-0.000260638,0.000130602,-8.15E-05,-0.00078038,0.000907105,6.20E-06,0.000353811,-0.000370761,0.000339953,0.00021593,-0.000578852
0.149369359,-0.004329639,0.000328839,0.00255038,0.003262264,0.001048542,-0.002338983,-0.003154003,-0.006191569,-0.000646848,-0.004696405,0.001967129,-0.002384471,-0.000814093,-0.000790168,0.000677074,0.000916398,0.000843618,0.001290268,-0.001602067,0.002603477,-0.001818733,0.000922631,0.000279455,-0.001383914,-0.000117656,-0.000853415,0.00010557,-0.001337518,-3.63E-06,-8.39E-05,-0.000135024,0.000703347,0.000291867,0.000352496,2.77E-05,-0.000138626,0.000148331,-0.00015944,-6.84E-05,9.94E-05,0.000106541,0.000863599,-0.000115847,0.000413124,8.16E-05,0.009342019,-0.013369122,-0.009770049,0.018532193,0.002516498,-0.003789485,0.000232396,-0.005926427,-0.002867963,0.004810601,0.000858276,-0.002669551,-0.002357748,0.001441784,-0.001280527,0.000939241,0.001524031,0.000273865,0.001487824,-0.001532755,-0.001032801,0.001313592,0.000958885,-0.000454369,-0.000465722,-0.000596375,0.000486561,-0.00012195,-0.000199211,-6.56E-05,-0.000710206,0.000194827,0.000127376,0.000232157,-4.06E-05,-0.000128943,0.000354907,0.000213382,-6.45E-05,-0.000113857,0.000249905,-4.17E-05,-2.61E-05,-0.000106491,1.47E-05,0.004386571,0.003901165,0.001241115,0.001890929,-0.003698967,0.006256789,-0.002025797,0.000829896,0.000694478,-0.001582135,0.00045234,-0.001018314,-0.001449153,-0.002603657,-0.001385649,0.000445949,-0.001617217,0.001876134,-0.000961185,0.000769183,0.001505556,0.000454244,0.002066737,0.001127624,0.000349905,-5.79E-05,0.001705641,0.000397011,0.001325806,-4.08E-05,0.000466954,-0.000330089,-0.000225953,0.000546721,-0.0006933,-0.000252802,-0.000493246,-7.22E-05,-0.000254172,-2.31E-05,-0.000148548,8.21E-05,0.000122645,0.000216935,-0.000145981,-0.008752933,-0.003860209,-0.000448923,-0.000753386,0.00925998,0.010951402,-0.004271413,-0.006762781,-0.002045814,0.001279887,0.004676678,0.000498047,-0.002830315,-0.004230408,-0.001191692,0.002409692,0.001837486,-0.001748913,0.000202006,0.000124627,0.000383864,-0.000525908,0.000294605,0.002780946,-0.0003751,-0.001927345,-1.48E-06,0.001034679,0.000440105,-0.00064479,-0.001138794,-0.000534004,-9.41E-05,0.000536387,-0.000320726,-0.000306071,0.000286592,-0.000279987,5.08E-05,0.000415662,4.83E-05,-0.000135232,0.0005178,0.000264888,-0.000665154
0.127394482,-0.000604142,-0.01078459,0.00196811,-0.005411882,0.003102246,-0.006334857,-0.003711078,0.004895251,0.003040892,-0.002420872,0.001194424,0.000320157,-0.004470637,0.003387684,0.001666123,-0.002998574,0.001970812,-0.001163129,0.002111259,0.002365566,-0.002096926,0.001114166,-0.000376975,0.002149356,0.000331765,0.000740704,-0.001836911,-0.000379698,0.00255882,-0.001868584,0.001288864,0.000392984,-0.000963278,0.001111245,-0.00031119,9.63E-05,-0.000576525,-0.001130375,0.000922476,0.000493677,-0.000651028,0.000656264,0.000601107,-0.000589799,0.002077401,0.026738417,0.004402993,-0.010625215,-0.001038981,-0.005712603,0.001331733,-0.006281976,-0.002019417,-0.002110309,0.002807566,-0.002265474,0.002302664,0.001195448,0.002518526,-0.000107641,0.000401074,0.001772658,-0.004063637,0.000449952,0.000505936,-0.003686824,-0.000199945,-0.00083407,0.000111884,-0.00120984,-3.31E-05,0.000532337,-0.001105967,-0.001334671,0.001152116,0.000344082,0.000218274,0.001440897,8.29E-06,0.001239853,7.78E-05,0.001140551,0.00059581,-0.000840422,0.000628679,-0.0001381,-0.000193762,-0.000179912,0.000614142,-1.37E-05,0.006922525,-0.00026411,0.015899203,0.002237003,-0.002584287,0.002524954,-0.000264353,-0.000658429,0.002000511,-0.004781628,-0.00684974,0.006397324,-0.00402842,0.000343371,-0.001998621,-0.002600624,-0.000135649,-0.000158213,0.000883914,-0.001629845,-0.000332207,0.000337872,-0.000602967,0.001770711,-0.003033024,0.001141108,-5.98E-05,-0.001043685,0.003148384,-0.001172032,-0.000846032,0.000485317,0.000582656,0.000439814,1.74E-05,-0.000874809,0.001114308,0.000423901,-1.79E-05,0.001017343,-0.000624959,-0.000176593,0.001447132,0.000434317,-0.00023834,0.006008895,0.002108223,-0.004641691,-0.002561914,-0.001585191,-0.001968766,0.001487677,-0.001231277,0.003965133,0.001157877,0.002796409,-0.002862819,0.000877872,0.000500368,-0.000547892,-0.002054261,-0.001120941,0.001532187,-6.40E-05,0.001580533,0.000579212,-0.00070211,-5.89E-05,0.000298184,-0.000432636,-0.000189676,-0.000959391,-0.000566724,0.000823978,-0.000378031,0.001122398,0.000309475,-4.50E-05,0.001483659,-0.000734356,0.001118172,-0.000482873,0.001106612,0.000219448,-8.36E-05,0.00042095,-0.001045411,7.71E-05,1.65E-05,-0.000366735
0.095630914,-0.004171234,-0.000419162,0.001642317,-0.00337317,-0.001677845,0.000383692,0.005981594,0.000958427,0.000563921,-0.002671029,-0.001356742,-0.003567141,-0.001961338,-0.000929796,-0.000267146,-0.001732439,6.54E-06,0.000782515,0.000209905,0.001078807,0.000609074,-0.000244723,0.000401732,0.000586645,0.000223802,-0.000825698,0.000375561,5.68E-05,0.000142508,-0.000782969,0.000427271,-9.57E-05,0.000336237,-0.000256042,2.66E-05,-0.000290178,-2.97E-05,-0.000129043,0.000134667,0.00026815,0.000607986,0.000369547,0.000103272,0.000417699,0.000682395,0.002176874,-0.001833471,0.005380713,0.007929248,-0.000357253,0.000732715,0.0005652,-0.002551745,-0.002002306,-0.003328909,0.001099786,-0.000930453,-0.000503491,-0.000143103,0.000873956,0.001367867,0.00146321,0.000545161,-0.001479825,0.002018886,-0.000307358,-0.000685392,0.000159952,0.000476909,0.000333358,-0.000733187,-0.00067968,0.000943024,0.000278937,-0.000784235,-0.000504174,0.000702322,-9.52E-05,-0.000499968,-0.000612335,0.000171827,0.000124247,-0.000295261,-0.000421547,0.000231455,-8.59E-05,0.000177163,-0.000344739,-0.00034785,0.000249112,0.008605041,0.006443119,-0.001851439,-0.00185046,-0.000965779,-0.00510152,-0.003979391,-0.001843338,0.00142265,0.000807188,0.000590036,0.002082222,0.000620179,0.002557543,0.001820973,0.001353311,-0.001021163,0.001312631,-0.000149195,-0.000853858,-0.001047687,-0.000355704,8.33E-06,-0.000217353,-0.001201927,0.000328939,0.000366403,0.000733707,-0.000473109,-0.000196262,0.000255185,9.06E-06,-0.00090177,-0.00040671,0.000387144,-0.000125089,-0.000402163,-0.000155466,7.47E-05,0.000174574,-0.000211336,-0.000313858,0.000459415,-8.08E-06,-8.14E-05,0.022501922,-0.016281443,-0.01162515,0.00336493,0.012345791,0.001521309,-0.004946276,-0.000891261,-0.000370992,-0.001308416,-0.002927202,-0.000471876,0.001315035,0.00047653,0.001571651,0.000612122,-0.000887753,0.002267014,0.001077488,-0.0009031,-9.32E-05,-0.000963453,0.000493226,0.000435958,-0.000241476,-0.000592529,3.44E-05,-0.00044144,-0.000455514,-0.000114798,0.000454424,0.000335361,-0.000125506,-0.000530673,0.000193971,0.000456424,-0.000169774,-0.000138834,0.000404554,0.000614069,9.14E-05,0.000107845,0.000138513,-6.14E-05,0.000289983
0.142798692,-0.008083457,0.004778734,-0.010267131,0.004800302,-0.002742286,0.015137593,0.002025078,0.003430874,0.005251866,0.003044551,-0.002653816,0.005532574,-0.001194649,-0.000716006,-0.001459824,0.001137196,0.001063896,-0.001151167,0.002314407,-0.000302045,0.001050729,0.000268658,-3.77E-05,0.001992136,0.000132752,0.000566673,-5.50E-05,0.000480996,-0.000434513,0.000125519,-0.000427438,-0.000269053,-0.00058976,0.000501516,0.00025302,0.000161986,0.000258151,0.000177328,0.000376507,-0.000882465,0.000710951,0.000323786,0.000478692,0.000315114,-0.000150433,-0.004695106,0.000393477,-0.005015306,0.004070027,-0.000763192,0.003344282,0.008063763,-0.001575033,-0.007251606,-0.002832898,0.001715424,0.001840572,0.002652148,-0.002168721,-0.000588394,-0.001705942,-0.000467923,0.000221179,-0.000761575,-0.00048876,0.001935901,-0.002643368,-0.001982784,0.000870381,0.001472065,-0.001333805,-0.000586837,-0.000697684,0.000946675,-0.000575459,0.000221629,-0.000519177,-0.000541793,-0.000322241,-4.94E-05,0.001187358,-0.000204142,-0.000215558,-0.00011678,0.00012126,-0.000728506,0.000130045,0.000969444,0.001116373,-0.000404766,0.003527464,0.003936162,0.000994257,0.003442943,-0.004777101,0.006156614,-0.002845691,0.003708948,0.004116582,0.002964054,0.00206928,-0.000264066,0.002808212,0.000705691,0.00303491,0.002617064,0.002292226,-0.000266217,-0.000487479,0.000576503,0.000592578,0.000214011,0.000500854,0.000862513,-0.001043116,-0.000539494,-0.000774221,0.00056565,5.01E-05,-0.000927019,0.001605188,-0.000967836,0.000353683,-0.00177202,0.000829874,-0.000754409,0.000546724,-0.000464775,-0.000286756,-3.46E-05,-0.000257042,-0.000203535,0.000109783,-0.000287671,0.000297087,0.004100387,-0.002043794,-0.007726065,-0.003635592,-0.001147403,0.007204571,-0.012324788,0.008902468,2.67E-05,0.001998377,0.001101784,0.004969964,-0.004594165,0.001000481,-0.00265041,0.001609729,-0.000135651,0.001325538,0.002570662,-0.003336578,0.002108912,-0.002705487,0.002471251,0.000602916,-0.00124688,-0.002221372,0.002566195,-0.000268981,0.000615369,0.000810137,0.000155371,-0.00021257,-0.002479022,0.00068529,-3.20E-05,0.001106343,-0.000786435,0.001035357,-0.001475439,0.000666861,-0.000353064,-4.79E-05,-0.000167696,-0.000546365,0.000730055
0.128619924,0.003302413,0.011021401,-0.002452076,0.001068969,0.005952757,-0.00864495,0.003839675,-0.004266777,-0.002056558,-0.001546674,-0.003963302,0.001570004,-0.002265165,-0.000599222,0.001142693,0.000446826,0.000964926,0.002915169,-0.000783355,0.002502466,-0.001314734,4.41E-05,-0.000153473,-0.001239757,-5.17E-05,-0.000763338,-0.000538811,0.000495745,-0.000567828,0.001048719,-0.000413632,-0.000237335,-0.000120864,-0.000865868,0.000122734,-0.000628657,1.77E-05,-0.000140534,-0.000567957,-0.000236349,-0.00028091,-0.000450254,-0.000555423,-0.000336375,-0.00044003,-0.013225053,0.010845918,-0.003795494,-0.003900398,0.002974892,-0.008609078,-0.001294848,-0.000761042,0.001205575,-0.00039955,0.000748926,0.00104421,0.002406125,-0.003124677,0.00029031,0.003562071,-0.000594556,1.76E-06,-0.000588445,0.001670954,-0.001391246,0.000948613,0.000172812,-0.000775838,0.000572621,-0.001299095,0.00110769,-0.000530755,-0.000136687,0.000639973,0.000103687,-0.000806905,0.000790065,0.000192923,-0.00081818,0.00048437,-0.000865861,0.000443276,0.000382789,-0.000154168,0.0003125,0.000564836,0.000209854,8.20E-05,0.001020776,0.015047006,0.009492308,-0.003046082,0.012169919,-0.002945494,0.00195964,-0.002997638,-0.003185331,-0.004030524,-0.001400346,-0.004557002,0.004491564,-0.006907165,0.003832464,-0.00199117,-0.000211362,8.89E-05,-0.001821032,0.00051862,-0.000978801,-0.000410245,0.00140745,-0.000331346,0.000361167,0.001056394,-0.000643654,0.000571307,-0.000309978,0.000195958,0.000336467,-0.000803032,0.000872355,-0.000145136,8.68E-05,0.000590402,-9.63E-05,0.000159995,-0.00014636,-0.0005712,-0.000253494,-0.000590334,-0.000388077,-0.000243158,-5.46E-05,5.58E-05,0.000867309,0.002525813,0.001375571,0.013944461,-0.012968794,0.004734114,0.005412317,-0.002154636,-0.000455634,-0.000313853,0.000262415,-0.000601294,0.003505518,-0.003124271,0.000360014,-0.000495733,-0.000242871,0.000936276,-0.000262314,0.002129777,-0.000476803,0.000515105,-0.00143681,0.001916006,-0.000145349,-0.001346341,0.001010638,-0.001545229,-0.000102778,-0.000488184,0.000675916,-0.000196336,0.000491264,-0.00081977,-0.000180199,0.000801593,-0.000376327,0.000428638,0.000316119,-0.000269773,-0.000170094,0.000905194,-0.000875658,0.00043056,0.000186814
0.135684207,-0.028864741,-0.013073518,-0.006820369,-0.018761961,0.007031154,-0.017316431,-0.008035952,0.002839576,-0.004028368,-0.005854698,-0.003803623,0.009598152,-0.003888688,0.003795855,-0.007708962,-0.001390291,-0.004669601,-0.002006451,0.001165382,0.004925387,-0.001134025,-0.004258937,-0.006529522,-0.006905314,-0.000786875,-0.004601131,-0.004076241,0.001643024,0.003204798,0.005518781,-0.002497044,-0.000485542,0.000140527,-0.001976653,-0.003710032,-0.000734284,-0.002230097,0.000265212,0.002247306,0.00234361,0.000366365,-0.000695693,-4.17E-05,-0.000524878,-0.000811546,-0.060147596,-0.01827076,0.030435614,0.009641256,-0.011773532,0.001323154,-0.00772934,0.001644093,-0.003603411,0.009296534,-0.0012273,0.000542669,-0.00236913,0.008697253,-0.002651345,-0.001885322,0.001640188,0.002591265,-0.005471834,-0.001210393,0.001209267,-0.000798635,-0.00213645,0.000979394,-0.0004972,0.002112597,0.001274845,0.004911161,-0.000712773,0.00287451,-0.000974216,0.004090258,-0.000762926,-0.00289174,-0.001480574,-0.000123544,-0.00170558,-0.000186948,0.002452177,0.006795899,0.002022521,0.001289064,-0.000838393,0.001919319,-0.000151221,0.00186379,0.036785431,-0.022889652,0.019585483,0.005631202,-0.001503969,-0.00951961,0.000936737,0.008071016,0.004841364,0.001355978,-0.00051788,0.001900035,-0.00039403,0.000478953,0.003223288,0.00568767,-0.002587436,0.005729575,-0.003700472,0.000935484,0.002778886,-0.005539422,0.001750349,0.001055127,0.002719277,0.005630618,-0.005306751,-0.001568166,0.002489614,-0.002766595,-0.002329001,-0.001776627,-0.001627167,0.001095096,-0.001577458,-0.000940752,7.68E-05,-0.002424415,0.002209587,0.000675438,-0.000475312,-0.000282833,0.001166597,-0.002172487,0.019318634,-0.009352058,0.012595374,-0.015973492,0.013564642,0.004006071,-0.001013275,0.00141306,0.006133135,0.008205388,0.00788182,0.006505897,-0.003471584,0.004803455,-0.002608223,-0.010924516,0.000378481,-0.000293896,0.00092378,0.001708116,0.005041372,0.005681988,0.001068133,-0.000333042,-0.002276176,0.00191194,-0.007938681,0.005351588,-0.002725034,-0.001132162,0.002317021,-0.004992147,0.001289096,0.00163443,0.000291297,0.001564394,-0.000266815,0.00135959,0.001080771,6.67E-05,0.003989641,0.000966359,0.000341745,-0.003450919,-8.17E-05
0.134024903,-0.012614128,0.016497414,-0.000117631,0.010950532,0.001223264,0.001967957,-0.001846698,-0.002594135,-0.001042729,-0.001576308,0.000814553,-0.00049843,0.001271875,-0.000682909,-0.001169985,-0.003779032,-0.000410719,-0.000551193,-0.001459526,3.60E-05,-0.000423384,-0.00102164,0.000986886,-0.000289699,0.000695712,-7.93E-05,-0.000514237,-0.000553395,0.000197085,-0.000476247,0.000663721,0.000262329,0.000376074,0.000826131,-0.000354605,0.000329859,0.000654751,-0.000300529,0.000619824,4.00E-05,0.000217504,0.000303818,-0.000177127,0.000493035,0.000908329,0.014664154,-0.003057599,0.002575,-0.003386914,-0.005424359,0.004903941,0.007031441,-0.007105849,0.003084442,0.000393113,-0.000499828,0.00270141,-0.000377471,-3.32E-05,-0.0014347,-0.001895046,-0.00037414,0.001804371,0.000226623,6.96E-05,0.000922827,-0.000322525,-0.001422285,0.00125407,0.001238368,-0.000774339,-0.000111414,-0.000708253,0.000148234,-6.13E-05,-0.000706451,0.000310076,0.001042994,-0.000188022,-0.000143005,0.000287891,-0.00014756,0.000146894,-9.86E-06,0.000287274,-0.000397078,7.19E-05,0.000444729,-0.000171553,-0.000430334,-0.020347796,-0.003168042,-0.005949485,-0.004366164,-0.008607869,0.000445831,-0.006397157,0.000112161,0.000117963,-0.004799263,0.000164052,-0.001121113,-0.000813578,0.001840461,-0.001700271,-0.000799306,-0.001941006,-3.11E-05,-0.002024732,-0.000147182,0.000679021,-0.00099811,4.14E-05,0.000587114,-0.000529045,0.00112094,-0.000222757,-0.000678039,0.000397603,-0.001169124,-0.000136922,-0.000143176,-0.000889053,-2.17E-05,0.000517536,-0.000865976,0.00017353,-6.38E-05,0.000140682,0.000227514,-0.000191886,-0.000271421,0.00017349,-8.29E-05,-0.000301651,0.002008325,-0.007846709,-0.00907496,0.003140469,0.001724411,0.005577198,-0.001584995,0.000252793,-0.001014646,-0.001989985,-0.002332192,-0.000537671,0.002089897,0.00136722,-0.000833322,0.0002302,0.000374033,-0.003098471,0.000296588,0.000850459,-0.0009428,-0.000781365,-0.001189806,-0.000786887,0.000603227,3.95E-05,-1.35E-05,-0.000405452,-0.000641303,-0.000288072,-4.93E-05,-0.000855785,0.000318585,0.000980539,-0.00035122,-0.000457077,-0.000216701,0.000477238,-0.000352519,5.35E-05,0.000246697,-0.000405084,-0.000275716,0.000189162,-8.10E-05
0.133008422,0.017577899,-0.006584879,0.012082766,-0.005529329,0.006692178,-0.00030771,0.002925699,0.002709008,0.002194405,-0.001327902,0.001744112,0.002242353,0.002134023,0.000426129,0.002527122,0.00079585,-0.00076142,-0.001071334,-0.001590676,-0.000182744,-0.000904436,0.000212267,-0.000776404,0.000323738,0.000206428,0.000480007,-6.04E-05,-0.00018731,0.000142197,0.000503355,-0.001861995,0.000611981,-0.000812212,0.000509027,-0.000476624,0.000350642,-0.00052959,0.000547431,0.001027629,0.00029336,0.000472001,4.49E-05,0.000542059,-0.000154632,5.99E-05,-0.014552483,-0.002085615,0.009220415,0.002118768,-0.003717974,-0.007740866,0.002558829,0.002424803,-0.006531717,0.002731227,0.000697829,-0.002086194,0.003324449,-0.000896748,-0.003405029,0.004564925,0.000407468,-0.005309967,-0.000184395,0.00015191,0.000801833,-0.000446206,-2.65E-05,0.002365742,-6.35E-05,-0.001155479,-0.000158392,-0.000224177,0.000561766,0.000512458,0.00150026,-0.000385046,-0.000262587,0.000968854,-0.000443159,-0.000707459,0.00047912,-0.000114036,-5.30E-05,0.000735255,-0.000602089,-3.63E-05,-0.000153703,-8.52E-05,0.00052995,-0.005877047,0.015202056,0.002125415,0.005843107,0.002455162,0.006894693,0.001301919,-0.002866255,0.00199813,-0.000638092,8.05E-06,-0.001495318,9.47E-05,-0.00040768,-0.00015728,0.002041021,-0.000479801,-0.000522071,-0.000449948,-0.001524838,-0.002027121,-0.002272749,-0.001084987,0.000687483,-0.001105354,0.000483441,-0.001235112,0.000690703,-0.00168845,0.00039527,-0.000722198,0.000898552,0.001124436,0.000398588,7.24E-05,-8.84E-05,0.000564937,0.000182731,-0.000131327,-0.000126321,0.000521803,9.73E-05,-0.000344643,0.000388846,-4.50E-05,-0.002015256,-0.002068223,0.014197912,-0.005322071,-0.003174044,-0.002923028,0.00114267,0.003254168,-0.001039832,0.000566131,0.001470194,-0.000403179,-0.002976841,0.00040917,0.003245238,0.003603563,-0.002175651,-0.000769325,0.003120167,-0.000372807,-0.001364995,0.001047107,-0.000563767,-0.00044872,-0.00169693,-2.52E-05,0.001329632,0.000564548,5.80E-05,-0.000757102,0.000653732,0.000129021,0.000109539,1.19E-05,-0.000707519,-0.000328402,6.77E-05,-7.74E-05,1.24E-06,-0.00061991,0.000134256,0.00038854,0.000212045,-0.000100875,-0.000439985
